job_id,title,company_location,experience_level,employment_type,salary_min,salary_max,currency,skills,job_category
JOB016638,Software Engineer,US,MI,FT,175000.0,175000.0,USD,[],Data Engineer
JOB016639,Software Engineer,US,MI,FT,100000.0,100000.0,USD,[],Data Engineer
JOB016640,Software Engineer,US,MI,FT,175000.0,175000.0,USD,[],Data Engineer
JOB016641,Software Engineer,US,MI,FT,100000.0,100000.0,USD,[],Data Engineer
JOB016642,Data Visualization Analyst,GB,MI,FT,47500.0,47500.0,USD,[],Data Analyst
JOB016643,Data Manager,US,MI,FT,155000.0,155000.0,USD,[],Manager
JOB016644,Data Manager,US,MI,FT,132000.0,132000.0,USD,[],Manager
JOB016645,Data Manager,US,MI,FT,80000.0,80000.0,USD,[],Manager
JOB016646,Data Manager,US,MI,FT,61000.0,61000.0,USD,[],Manager
JOB016647,Data Manager,US,MI,FT,160000.0,160000.0,USD,[],Manager
JOB016648,Data Manager,US,MI,FT,115000.0,115000.0,USD,[],Manager
JOB016649,Data Engineer,US,SE,FT,235400.0,235400.0,USD,[],Data Engineer
JOB016650,Data Engineer,US,SE,FT,209720.0,209720.0,USD,[],Data Engineer
JOB016651,Data Engineer,US,EX,FT,130000.0,130000.0,USD,[],Data Engineer
JOB016652,Data Engineer,US,EX,FT,90000.0,90000.0,USD,[],Data Engineer
JOB016653,Data Engineer,US,MI,FT,270000.0,270000.0,USD,[],Data Engineer
JOB016654,Data Engineer,US,MI,FT,130000.0,130000.0,USD,[],Data Engineer
JOB016655,Data Engineer,US,MI,FT,144000.0,144000.0,USD,[],Data Engineer
